section,name,accuracy,f1,precision,recall,average_precision,roc_auc,mean_probability_shift
metrics,document,0.812,0.8401360544217688,0.9698952879581152,0.741,0.9472231325468555,0.873323,
metrics,sentence,0.8174883720930233,0.8427632633434845,0.9677894349346585,0.7463449254790632,0.9425840152333462,0.8664082546268495,
robustness,clean,0.8174883720930233,0.8427632633434845,0.9677894349346585,0.7463449254790632,0.9425840152333462,0.8664082546268495,
robustness,synonym_substitution,0.8056744186046512,0.8333200351073167,0.951530612244898,0.7412349183818311,0.9405882637452363,0.8636515594275856,0.0188820268958807
robustness,punctuation_strip,0.8026046511627907,0.8270578647106764,0.9711004784688996,0.7202271114265436,0.9381939456699679,0.8580315285675565,0.026462558656930923
robustness,sentence_shuffle,0.8174883720930233,0.8427632633434845,0.9677894349346585,0.7463449254790632,0.9425840152333462,0.8664082546268495,0.0
robustness,character_noise,0.5962790697674418,0.5563279492946228,0.9941541834124954,0.38623136976579137,0.9163302054303002,0.8226181986056477,0.19774818420410156
robustness,context_truncation,0.35655813953488374,0.047638716783698194,0.7935779816513762,0.024556422995031937,0.8819591650391645,0.8177149211402694,0.2974734306335449
